X,D,Deg
3.6,0.61,0
4,0.61,0
4.4,0.6,0
4.8,0.6,0
5.2,0.6,0
5.6,0.6,0
6,0.6,0
6.4,0.6,0
6.8,0.6,0
7.2,0.6,0
7.6,0.6,0
8,0.6,0
8.4,0.6,0
8.8,0.6,0
9.2,0.6,0
9.6,0.59,0
10,0.6,0
10.4,0.6,0
10.8,0.6,0
11.2,0.6,0
11.6,0.6,0
12,0.6,0
12.4,0.59,0
12.8,0.59,0
13.2,0.59,0
13.6,0.58,0
14,0.57,0
14.4,0.56,0
14.8,0.53,0
15.2,0.45,0
3.6,0.55,18
4,0.54,18
4.4,0.52,18
4.8,0.49,18
5.2,0.46,18
5.6,0.43,18
6,0.4,18
6.4,0.38,18
6.8,0.38,18
7.2,0.39,18
7.6,0.41,18
8,0.43,18
8.4,0.46,18
8.8,0.47,18
9.2,0.47,18
9.6,0.46,18
10,0.45,18
10.4,0.42,18
10.8,0.4,18
11.2,0.38,18
11.6,0.37,18
12,0.37,18
12.4,0.39,18
12.8,0.41,18
13.2,0.43,18
13.6,0.45,18
14,0.45,18
14.4,0.44,18
14.8,0.41,18
15.2,0.33,18
3.6,0.2,36
4,0.19,36
4.4,0.16,36
4.8,0.1,36
5.2,0.03,36
5.6,-0.04,36
6,-0.11,36
6.4,-0.15,36
6.8,-0.16,36
7.2,-0.13,36
7.6,-0.08,36
8,-0.02,36
8.4,0.04,36
8.8,0.08,36
9.2,0.08,36
9.6,0.06,36
10,0.02,36
10.4,-0.04,36
10.8,-0.11,36
11.2,-0.16,36
11.6,-0.19,36
12,-0.17,36
12.4,-0.13,36
12.8,-0.06,36
13.2,0,36
13.6,0.04,36
14,0.06,36
14.4,0.06,36
14.8,0.03,36
15.2,-0.02,36
3.6,-0.17,54
4,-0.17,54
4.4,-0.22,54
4.8,-0.33,54
5.2,-0.47,54
5.6,-0.61,54
6,-0.74,54
6.4,-0.81,54
6.8,-0.82,54
7.2,-0.77,54
7.6,-0.68,54
8,-0.54,54
8.4,-0.41,54
8.8,-0.34,54
9.2,-0.33,54
9.6,-0.36,54
10,-0.45,54
10.4,-0.58,54
10.8,-0.71,54
11.2,-0.82,54
11.6,-0.86,54
12,-0.84,54
12.4,-0.74,54
12.8,-0.6,54
13.2,-0.47,54
13.6,-0.38,54
14,-0.34,54
14.4,-0.34,54
14.8,-0.37,54
15.2,-0.41,54
3.6,-0.24,72
4,-0.23,72
4.4,-0.31,72
4.8,-0.48,72
5.2,-0.73,72
5.6,-1,72
6,-1.22,72
6.4,-1.34,72
6.8,-1.35,72
7.2,-1.24,72
7.6,-1.04,72
8,-0.75,72
8.4,-0.53,72
8.8,-0.42,72
9.2,-0.41,72
9.6,-0.47,72
10,-0.63,72
10.4,-0.87,72
10.8,-1.13,72
11.2,-1.33,72
11.6,-1.42,72
12,-1.37,72
12.4,-1.17,72
12.8,-0.88,72
13.2,-0.63,72
13.6,-0.49,72
14,-0.44,72
14.4,-0.43,72
14.8,-0.51,72
15.2,-0.58,72
3.6,-0.14,90
4,-0.14,90
4.4,-0.22,90
4.8,-0.38,90
5.2,-0.63,90
5.6,-0.97,90
6,-1.3,90
6.4,-1.51,90
6.8,-1.48,90
7.2,-1.26,90
7.6,-0.92,90
8,-0.57,90
8.4,-0.39,90
8.8,-0.31,90
9.2,-0.3,90
9.6,-0.36,90
10,-0.51,90
10.4,-0.77,90
10.8,-1.12,90
11.2,-1.45,90
11.6,-1.6,90
12,-1.48,90
12.4,-1.12,90
12.8,-0.72,90
13.2,-0.48,90
13.6,-0.37,90
14,-0.32,90
14.4,-0.32,90
14.8,-0.4,90
15.2,-0.48,90
3.6,-0.14,108
4,-0.15,108
4.4,-0.25,108
4.8,-0.42,108
5.2,-0.66,108
5.6,-0.93,108
6,-1.19,108
6.4,-1.34,108
6.8,-1.3,108
7.2,-1.12,108
7.6,-0.84,108
8,-0.57,108
8.4,-0.41,108
8.8,-0.32,108
9.2,-0.29,108
9.6,-0.35,108
10,-0.52,108
10.4,-0.78,108
10.8,-1.06,108
11.2,-1.31,108
11.6,-1.41,108
12,-1.3,108
12.4,-1.01,108
12.8,-0.7,108
13.2,-0.46,108
13.6,-0.35,108
14,-0.31,108
14.4,-0.33,108
14.8,-0.43,108
15.2,-0.52,108
3.6,-0.2,126
4,-0.2,126
4.4,-0.28,126
4.8,-0.49,126
5.2,-0.77,126
5.6,-0.99,126
6,-1.14,126
6.4,-1.25,126
6.8,-1.24,126
7.2,-1.09,126
7.6,-0.84,126
8,-0.6,126
8.4,-0.44,126
8.8,-0.35,126
9.2,-0.3,126
9.6,-0.34,126
10,-0.6,126
10.4,-0.9,126
10.8,-1.1,126
11.2,-1.24,126
11.6,-1.33,126
12,-1.26,126
12.4,-1.02,126
12.8,-0.7,126
13.2,-0.48,126
