alpha,Re,CL,CD
-0.672367886,-0.73325894,-0.67353858,-1.522570003
1.570025945,0.874636065,1.869646363,1.847196316
-0.508057936,-0.194230225,-0.568137117,-0.013968672
-0.661956955,0.581048553,-0.557075181,0.787492175
0.519361524,-0.912729425,-0.511575143,-0.140149349
-0.109123251,0.338170546,2.317506573,-0.214373277
0.351603393,0.548701508,-0.496130177,-0.155612667
0.754177608,0.061817666,-0.564797664,-0.057884496
-0.781219908,-1.466203009,-0.657884897,-1.935131335
-1.910267001,-0.503969001,-0.623864227,-0.284267475
-1.450118307,-0.629975335,-0.690444557,-1.86152594
-0.708337534,1.886939797,1.892830511,-1.738437926
-0.054612305,0.93991729,-0.568554548,0.466012728
0.961337949,0.565488765,1.488189076,0.788886813
-0.756647221,0.057575991,-0.670825275,-0.832723442
-0.345864538,-1.667595154,-0.593600441,0.289112367
-0.641808719,1.050532639,-0.589843557,0.177440612
-1.005992138,0.6053373,-0.560414633,-1.396389326
-1.045859052,0.61016738,-0.600070629,-1.127946121
0.563535736,-0.602344299,-0.501139355,-0.677654292
-0.402359262,-0.666318806,-0.620524775,-2.16275138
-0.802570907,1.155081604,-0.148618422,-1.273301312
0.646473678,1.653284936,1.55053665,0.501629698
0.832695005,0.010439062,1.245909725,1.068463608
-0.657300152,-1.629805157,-0.506774681,0.475290719
1.548579271,-1.145816201,-0.632421574,2.010488957
-0.276836474,-1.182216995,-0.581077494,-0.002835083
0.986461251,-0.80358281,1.069096161,0.261394254
-0.102658399,-1.077727596,-0.583790799,-0.025102261
-1.240261512,1.31638257,1.456270174,-1.087741493
-1.745031548,-0.845676956,-0.651414708,-1.980902757
2.359329532,0.310077986,1.344204416,-0.284267475
-1.86056906,-1.063782636,-0.660389487,-0.509413389
-0.21427912,-0.059456469,-0.613011007,0.402303856
-0.42282381,0.339416663,2.551716972,0.558174105
-1.314493089,-0.34500667,-0.702967503,-1.033310613
-1.261610559,1.127443282,0.442180781,-1.641328288
0.666467664,-1.250055862,-0.597983472,0.041080741
0.127108423,0.062285764,-0.579407768,0.16540582
1.130689351,0.353049985,1.280285212,-0.009638943
-0.30503307,0.262359222,0.535343152,0.07015178
