alpha,Re,CL,CD
9.796893698,4267.323585,0.851113088,0.874529173
13.46262368,4791.511319,1.06712716,1.39851711
10.10817178,4496.794378,0.996117832,1.262767002
4.342411592,4143.610558,0.319730596,0.795122101
13.76802659,4122.671028,1.393947383,1.640695775
2.860780611,4204.167189,0.524653626,0.85630239
10.67765865,4355.26126,1.000939995,1.22132801
0.428193363,4077.539688,-0.257398078,-0.019637458
3.931104648,4766.546491,0.413939691,0.996168232
10.73519721,4590.505972,0.860001263,0.918202299
12.25034732,4957.950179,1.129104447,1.283659052
9.878945986,4715.58101,0.891293996,1.053337916
2.776279982,4265.947596,0.4003653,0.940137736
0.396551515,4477.917297,-0.160744405,0.319518234
13.9623108,4265.702878,1.262551967,1.524758531
12.97285194,4840.240897,1.20503424,1.356095004
9.213577695,4694.211395,0.816344363,1.199508502
5.341220158,4290.487251,0.425913402,0.520689961
0.791906247,4428.987445,0.064014149,0.609005569
6.501770155,4986.96488,0.664964892,0.672142197
12.03949507,4060.280451,1.078720235,1.453579866
12.97541372,4701.53669,1.128254584,1.059015597
6.105978836,4639.412983,0.743174637,0.859028592
1.955339611,4850.72663,0.137919487,0.278851245
4.337037668,4483.559553,0.455102739,0.789445525
9.704825482,4315.642387,0.869566606,1.177270222
5.409421811,4624.422164,0.613914724,1.28052835
7.147575427,4854.041372,0.539468161,0.829865603
7.248897616,4610.77413,0.576930715,0.792143793
12.00357378,4656.379873,1.067581977,1.163062109
11.71945498,4258.377313,0.94221938,1.199449362
0.13002628,4106.0159,-0.375945061,0.388410937
7.526346477,4143.241726,0.498043533,0.959807277
0.85707295,4630.10167,-0.205474986,0.406221981
0.873331761,4457.371571,-0.063700114,0.371717644
9.609212618,4509.067608,1.063747165,1.454683496
9.704145971,4269.131713,1.003055289,1.263325474
9.018549172,4751.232671,0.81972238,1.053798843
3.639511607,4827.949571,0.342094877,0.781132829
11.35290027,4258.240563,0.894587513,1.297421151
6.573669929,4244.180431,0.71212737,1.153091904
2.83878718,4289.972743,0.313839005,0.685845297
1.173621094,4836.53259,0.036105007,0.33726976
3.381318212,4931.724731,0.420613827,0.811759886
14.83227444,4468.135847,1.837260914,1.848903379
10.38903223,4202.353755,0.806375891,1.229492852
0.515542405,4173.167225,-0.297893218,0.395732939
